ticker,name,sector
AAPL,Apple,Tech
MSFT,Microsoft,Tech
NVDA,Nvidia,Tech
AMZN,Amazon,Consumer
GOOGL,Alphabet,Tech
META,Meta Platforms,Tech
TSLA,Tesla,Consumer
AMD,Advanced Micro Devices,Tech
NFLX,Netflix,Tech
INTC,Intel,Tech
CRM,Salesforce,Tech
ORCL,Oracle,Tech
ADBE,Adobe,Tech
AVGO,Broadcom,Tech
QCOM,Qualcomm,Tech
CSCO,Cisco,Tech
TXN,Texas Instruments,Tech
IBM,IBM,Tech
MU,Micron,Tech
PYPL,PayPal,Financials
JPM,JPMorgan Chase,Financials
BAC,Bank of America,Financials
WFC,Wells Fargo,Financials
GS,Goldman Sachs,Financials
MS,Morgan Stanley,Financials
V,Visa,Financials
MA,Mastercard,Financials
AXP,American Express,Financials
BRK-B,Berkshire Hathaway,Financials
BLK,BlackRock,Financials
JNJ,Johnson & Johnson,Healthcare
PFE,Pfizer,Healthcare
MRK,Merck,Healthcare
ABBV,AbbVie,Healthcare
LLY,Eli Lilly,Healthcare
UNH,UnitedHealth,Healthcare
TMO,Thermo Fisher,Healthcare
XOM,Exxon Mobil,Energy
CVX,Chevron,Energy
COP,ConocoPhillips,Energy
WMT,Walmart,Consumer
COST,Costco,Consumer
HD,Home Depot,Consumer
NKE,Nike,Consumer
MCD,McDonald's,Consumer
SBUX,Starbucks,Consumer
KO,Coca-Cola,Consumer
PEP,PepsiCo,Consumer
PG,Procter & Gamble,Consumer
DIS,Disney,Consumer
BA,Boeing,Industrials
CAT,Caterpillar,Industrials
GE,General Electric,Industrials
F,Ford,Consumer
GM,General Motors,Consumer
UBER,Uber,Tech
